country,wdi_code,region_short,income_short,region,income,,,,,,,
Slovenia,SVN,EURNA,H,EU + EFTA + North America,High,,,,,,,
South Africa,ZAF,AFR,UM,Sub-Saharan Africa,Upper middle,,,,,,,
Spain,ESP,EURNA,H,EU + EFTA + North America,High,,,,,,,
Sri Lanka,LKA,SA,LM,South Asia,Lower middle,,,,,,,
Sweden,SWE,EURNA,H,EU + EFTA + North America,High,,,,,,,
Tanzania,TZA,AFR,L,Sub-Saharan Africa,Low,,,,,,,
Thailand,THA,EAP,UM,East Asia & Pacific,Upper middle,,,,,,,
Tunisia,TUN,MENA,UM,Middle East & North Africa,Upper middle,,,,,,,
Turkey,TUR,ECA,UM,Eastern Europe & Central Asia,Upper middle,,,,,,,
Uganda,UGA,AFR,L,Sub-Saharan Africa,Low,,,,,,,
Ukraine,UKR,ECA,LM,Eastern Europe & Central Asia,Lower middle,,,,,,,
United Arab Emirates,ARE,MENA,H,Middle East & North Africa,High,,,,,,,
United Kingdom,GBR,EURNA,H,EU + EFTA + North America,High,,,,,,,
United States,USA,EURNA,H,EU + EFTA + North America,High,,,,,,,
Uruguay,URY,LAC,H,Latin America & Caribbean,High,,,,,,,
Uzbekistan,UZB,ECA,LM,Eastern Europe & Central Asia,Lower middle,,,,,,,
Venezuela,VEN,LAC,UM,Latin America & Caribbean,Upper middle,,,,,,,
Vietnam,VNM,EAP,LM,East Asia & Pacific,Lower middle,,,,,,,
Zambia,ZMB,AFR,LM,Sub-Saharan Africa,Lower middle,,,,,,,
Zimbabwe,ZWE,AFR,L,Sub-Saharan Africa,Low,,,,,,,
